207,11.13.01,1113020,BLANGKEJEREN,1113
208,11.13.07,1113021,PUTERI BETUNG,1113
209,11.13.08,1113022,DABUN GELANG,1113
210,11.13.06,1113023,BLANGPEGAYON,1113
211,11.13.05,1113030,PINING,1113
212,11.13.03,1113040,RIKIT GAIB,1113
213,11.13.11,1113041,PANTAN CUACA,1113
214,11.13.04,1113050,TERANGUN,1113
215,11.13.10,1113051,TERIPE JAYA,1113
216,11.16.07,1114010,TAMIANG HULU,1116
217,11.16.10,1114011,BANDAR PUSAKA,1116
218,11.16.06,1114020,KEJURUAN MUDA,1116
219,11.16.11,1114021,TENGGULUN,1116
220,11.16.08,1114030,RANTAU,1116
221,11.16.05,1114040,KOTA KUALASINPANG,1116
222,11.16.04,1114050,SERUWAY,1116
223,11.16.02,1114060,BENDAHARA,1116
224,11.16.09,1114061,BANDA MULIA,1116
225,11.16.03,1114070,KARANG BARU,1116
226,11.16.12,1114071,SEKERAK,1116
227,11.16.01,1114080,MANYAK PAYED,1116
228,11.15.05,1115010,DARUL MAKMUR,1115
229,11.15.09,1115011,TRIPA MAKMUR,1115
230,11.15.01,1115020,KUALA,1115
231,11.15.07,1115021,KUALA PESISIR,1115
232,11.15.08,1115022,TADU RAYA,1115
233,11.15.04,1115030,BEUTONG,1115
234,11.15.10,1115031,BEUTONG ATEUH BANGGALANG,1115
235,11.15.02,1115040,SEUNAGAN,1115
236,11.15.06,1115041,SUKA MAKMUE,1115
237,11.15.03,1115050,SEUNAGAN TIMUR,1115
238,11.14.01,1116010,TEUNOM,1114
239,11.14.09,1116011,PASIE RAYA,1114
240,11.14.06,1116020,PANGA,1114
241,11.14.02,1116030,KRUENG SABEE,1114
242,11.14.03,1116040,SETIA BHAKTI,1114
243,11.14.04,1116050,SAMPOINIET,1114
244,11.14.08,1116051,DARUL HIKMAH,1114
245,11.14.05,1116060,JAYA,1114
246,11.14.07,1116061,INDRA JAYA,1114
247,11.17.07,1117010,TIMANG GAJAH,1117
248,11.17.10,1117011,GAJAH PUTIH,1117
249,11.17.01,1117020,PINTU RIME GAYO,1117
250,11.17.05,1117030,BUKIT,1117
251,11.17.06,1117040,WIH PESAM,1117
252,11.17.04,1117050,BANDAR,1117
253,11.17.08,1117051,BENER KELIPAH,1117
254,11.17.03,1117060,SYIAH UTAMA,1117
255,11.17.09,1117061,MESIDAH,1117
256,11.17.02,1117070,PERMATA,1117
257,11.18.01,1118010,MEUREUDU,1118
258,11.18.05,1118020,MEURAH DUA,1118
259,11.18.04,1118030,BANDAR DUA,1118
260,11.18.03,1118040,JANGKA BUAYA,1118
261,11.18.02,1118050,ULIM,1118
262,11.18.08,1118060,TRIENGGADENG,1118
263,11.18.07,1118070,PANTERAJA,1118
264,11.18.06,1118080,BANDAR BARU,1118
265,11.71.03,1171010,MEURAXA,1171
266,11.71.08,1171011,JAYA BARU,1171
267,11.71.07,1171012,BANDA RAYA,1171
268,11.71.01,1171020,BAITURRAHMAN,1171
269,11.71.05,1171021,LUENG BATA,1171
270,11.71.02,1171030,KUTA ALAM,1171
271,11.71.06,1171031,KUTA RAJA,1171
272,11.71.04,1171040,SYIAH KUALA,1171
273,11.71.09,1171041,ULEE KARENG,1171
274,11.72.02,1172010,SUKAJAYA,1172
275,11.72.01,1172020,SUKAKARYA,1172
276,11.74.01,1173010,LANGSA TIMUR,1174
277,11.74.04,1173011,LANGSA LAMA,1174
278,11.74.02,1173020,LANGSA BARAT,1174
279,11.74.05,1173021,LANGSA BARO,1174
280,11.74.03,1173030,LANGSA KOTA,1174
281,11.73.03,1174010,BLANG MANGAT,1173
282,11.73.01,1174020,MUARA DUA,1173
283,11.73.04,1174021,MUARA SATU,1173
284,11.73.02,1174030,BANDA SAKTI,1173
285,11.75.01,1175010,SIMPANG KIRI,1175
286,11.75.02,1175020,PENANGGALAN,1175
287,11.75.03,1175030,RUNDENG,1175
288,11.75.04,1175040,SULTAN DAULAT,1175
289,11.75.05,1175050,LONGKIB,1175
290,12.04.10,1201060,IDANOGAWO,1204
291,12.04.11,1201061,BAWOLATO,1204
292,12.04.27,1201062,ULUGAWO,1204
293,12.04.06,1201070,GIDO,1204
294,12.04.35,1201071,SOGAE'ADU,1204
295,12.04.28,1201081,MA'U,1204
296,12.04.29,1201082,SOMOLO-MOLO,1204
297,12.04.05,1201130,HILIDUHO,1204
298,12.04.20,1201131,HILISERANGKAI,1204
299,12.04.21,1201132,BOTOMUZOI,1204
300,12.13.15,1202010,BATAHAN,1213
